N,sample,seed,avg_degree,edges,threshold,threshold_RR,delta_threshold,S_N,R_N,epsilon,epsilon_crit,margin_M,relative_residual,source_row
700,66,86966926,4,1400,4.0470038528871601,4.0346820809248598,0.012321771962300301,271.03410045096098,68.4773520233787,0.002652164098327,0.0034012195788957998,-0.00074905548056880002,7.9537747754985999e-07,2166
700,69,89966935,4,1400,4.0594159758847903,4.0346820809248598,0.0247338949599323,281.25513020294699,70.791947375418104,0.0017001105876233999,0.0031995203952456999,-0.0014994098076222,1.9627222779772099e-07,2169
700,70,90966938,4,1400,4.06113961995396,4.0346820809248598,0.026457539029108201,263.83527853541898,66.473350552830397,0.0019501975696047001,0.0035526588478799002,-0.0016024612782752001,5.0357925873469697e-07,2170
700,71,91966941,4,1400,4.0529737188196497,4.0346820809248598,0.018291637894791699,258.69988191653698,65.336182207042995,0.0025559027047495002,0.0036658412144040002,-0.0011099385096545,4.35632167659016e-07,2171
700,76,96966956,4,1400,4.0644175404343503,4.0346820809248598,0.029735459509495899,276.34697009331302,69.499701221571399,0.0014943485651524001,0.0032945146713804002,-0.0018001661062278999,7.5851384725380004e-07,2176
700,83,103966977,4,1400,4.0590476033749496,4.0346820809248598,0.024365522450098698,251.42173196340599,63.448338741968897,0.0023582120228319002,0.003834169008216,-0.0014759569853840999,6.7401675153011305e-07,2183
700,86,106966986,4,1400,4.0601553035200402,4.0346820809248598,0.025473222595183,253.222897511545,63.875194319414,0.0022488880236501002,0.0037916109582478998,-0.0015427229345978,7.9628202834801495e-07,2186
700,89,109966995,4,1400,4.0713487198170304,4.0346820809248598,0.036666638892177701,240.83527649963699,60.662446512723001,0.001883558731125,0.0040971725134524998,-0.0022136137823274,5.8476181649219801e-07,2189
1000,18,39269558,4,2000,4.0477500430170004,4.0241935483870996,0.023556494629903401,300.24188348109902,75.6809043914798,0.0020664456071597002,0.0035029778120771,-0.0014365322049173001,7.4373792143390098e-07,2218
1000,40,61269624,4,2000,4.0333995828807003,4.0241935483870996,0.0092060344936078006,348.25299692532599,87.846440415575401,0.0022489144132527999,0.0028128391502397002,-0.00056392473698690005,6.1087169818237496e-07,2240
1000,49,70269651,4,2000,4.0452055984655404,4.0241935483870996,0.021012050078438101,309.16400347209202,77.932853216101705,0.0020760901685525001,0.0033585108371059001,-0.0012824206685533,9.9807011705829698e-07,2249
1000,82,103269750,4,2000,4.0348888907777596,4.0241935483870996,0.010695342390661699,300.05413023183303,75.869228740558995,0.0028518060455950001,0.0035061102126477,-0.00065430416705260003,5.5304375653879697e-07,2282
1000,87,108269765,4,2000,4.0406536555154897,4.0241935483870996,0.016460107128394501,334.11209227003599,84.192665181874602,0.0019892788370810001,0.0029955022634839002,-0.0010062234264029001,5.3124323296210704e-07,2287
1000,121,142269867,4,2000,4.0361466438385101,4.0241935483870996,0.0119530954514131,362.06535702191502,91.210176920224001,0.0019163326490341001,0.0026481948219543002,-0.00073186217292010001,9.3437723982139805e-07,2321
1000,136,157269912,4,2000,4.0421077300956698,4.0241935483870996,0.0179141817085746,337.39178169481198,84.974477888786595,0.0018569879264293001,0.0029517735456582,-0.0010947856192289,9.8910796952106098e-07,2336
1000,170,191270014,4,2000,4.0340853781522599,4.0241935483870996,0.0098918297651673006,338.64137468662398,85.449243859371407,0.0023296036653682002,0.0029353353259619001,-0.00060573166059370005,5.94200613890338e-07,2370
1000,192,213270080,4,2000,4.0399787948649397,4.0241935483870996,0.015785246477839202,309.204873981726,78.0412096290748,0.0023932065627371001,0.0033578682448055998,-0.00096466168206840004,3.0300183002760302e-07,2392
1000,238,259270218,4,2000,4.0432154742755202,4.0241935483870996,0.0190219258884223,334.25434619966302,84.175770244229994,0.0018314906037105001,0.0029935877618868,-0.0011620971581762,4.3090794562687997e-07,2438
1000,239,260270221,4,2000,4.0325254507752604,4.0241935483870996,0.0083319023881616005,364.74842123573899,91.955643444750706,0.0021070362229728,0.0026176588751109001,-0.0005106226521381,9.4097612970975695e-07,2439
1000,304,325270416,4,2000,4.0375661218204097,4.0241935483870996,0.013372573433314499,338.22087217617297,85.273155722379599,0.0021226888622133998,0.0029408534173288002,-0.00081816455511539996,4.5890752486804401e-07,2504
1000,335,356270509,4,2000,4.0308555883485901,4.0241935483870996,0.0066620399614939997,348.67905509564599,88.006320888300607,0.0023992181410481999,0.0028075655295092998,-0.00040834738846110002,6.7551308787869405e-07,2535
1000,368,389270608,4,2000,4.0373897145176496,4.0241935483870996,0.0131961661305526,316.199713753004,79.8224883515568,0.0024432656947606999,0.0032503379875157001,-0.00080707229275490001,9.8176495389709904e-07,2568
1000,370,391270614,4,2000,4.03797349752982,4.0241935483870996,0.013779949142720399,299.67666094636598,75.719319639371506,0.0026700591239009002,0.0035124196380002001,-0.00084236051409930003,4.68282153153178e-07,2570
1000,376,397270632,4,2000,4.0315280835387801,4.0241935483870996,0.0073345351516813,340.59950548722702,85.987882097712301,0.0024603844468498001,0.0029098189856928002,-0.00044943453884300003,4.9154202948415797e-07,2576
1000,404,425270716,4,2000,4.0368180378482199,4.0241935483870996,0.012624489461122001,333.56877063610398,84.136169486606093,0.0022303551563337999,0.0030028294987699002,-0.00077247434243609997,1.5228532831299701e-07,2604
1000,417,438270755,4,2000,4.0400535953893204,4.0241935483870996,0.015860047002219001,329.165199060693,82.980410572740894,0.0020935105215678,0.0030631085599690001,-0.00096959803840119998,9.5548174577768991e-07,2617
