case,module,local_node,global_node,is_bridge_endpoint,distance_to_bridge_endpoint_before,top10_shell,degree_before,degree_after,tau_before,tau_after,delta_tau,tau_before_minus_S_before,tau_after_minus_S_after,delta_tau_centered,tau_ratio,shell,case_label,case_order
shell0-shell0,1,903,903,0,-1,2,2,2,301.86767273314302,585.79948164064194,283.93180890749898,-106.39406771986999,-216.19649843973701,-109.802430719867,1.9405836880006,2,shell0-shell0,0
shell0-shell0,1,904,904,0,-1,2,2,2,373.50977302473899,725.55056565625398,352.04079263151499,-34.751967428273701,-76.445414424124706,-41.693446995850998,1.9425209674719801,2,shell0-shell0,0
shell0-shell0,1,905,905,0,2,2,2,2,381.85274758819401,750.14532088727901,368.29257329908501,-26.408992864819002,-51.850659193099297,-25.441666328280299,1.96448847265142,2,shell0-shell0,0
shell0-shell0,1,906,906,0,-1,2,2,2,371.34357027978302,727.38278678185304,356.03921650207002,-36.918170173230003,-74.613193298525402,-37.6950231252954,1.95878653892895,2,shell0-shell0,0
shell0-shell0,1,907,907,0,-1,2,2,2,377.010775131949,730.09903967409605,353.08826454214699,-31.2509653210636,-71.896940406282496,-40.6459750852189,1.9365468783181901,2,shell0-shell0,0
shell0-shell0,1,909,909,0,-1,2,3,3,344.80614406597402,665.90135804001795,321.09521397404399,-63.455596387039101,-136.09462204036001,-72.639025653321397,1.9312340267132999,2,shell0-shell0,0
shell0-shell0,1,910,910,0,-1,2,2,2,356.75304229609799,689.02773577611003,332.27469348001199,-51.508698156915003,-112.96824430426901,-61.459546147353599,1.9313857321060499,2,shell0-shell0,0
shell0-shell0,1,912,912,0,2,2,2,2,319.81503665663598,636.76479732467203,316.94976066803599,-88.446703796376596,-165.23118275570599,-76.784478959329704,1.9910408340440999,2,shell0-shell0,0
shell0-shell0,1,914,914,0,2,2,2,2,357.51081098532597,719.64127973876202,362.13046875343503,-50.750929467686298,-82.354700341616805,-31.6037708739305,2.01292172887129,2,shell0-shell0,0
shell0-shell0,1,915,915,0,-1,2,2,2,349.21734390504503,681.21528454854695,331.99794064350198,-59.044396547967303,-120.780695531831,-61.736298983864202,1.95069144313111,2,shell0-shell0,0
shell0-shell0,1,916,916,0,-1,2,2,2,378.968548318545,737.50892514235898,358.54037682381301,-29.293192134467301,-64.487054938019696,-35.193862803552399,1.94609533802905,2,shell0-shell0,0
