node,degree,shell,x,y,is_hub
205,3,2,0.043103331070458911,0.29426405439582831,0
206,5,2,-0.23518217646140049,-0.26677277505974983,0
207,4,1,-0.11493477010130163,-0.19747314665685753,0
208,2,1,0.0050989105374152563,0.19742725191630189,0
209,2,1,-0.078479158615924943,-0.21124537139276198,0
210,2,1,0.23538507007575588,-0.11617348895566273,0
211,5,2,-0.11994599995867691,0.26624743719991906,0
212,6,2,0.097770428627116629,0.32167400813572933,0
213,7,1,0.17059075737746407,0.12360003433351807,0
214,2,1,-0.12217154347353842,0.13310138628260171,0
215,4,3,-0.45083020149581576,-0.041919641420369774,0
216,5,2,0.083524765131828271,0.33017690506916575,0
217,7,2,-0.067282912166221523,-0.36030526718325473,0
218,4,2,-0.045642791643259815,-0.36157833202276257,0
219,4,2,-0.042744169505273044,-0.37422837338734538,0
220,3,2,-0.17050220707261049,0.28164044754769907,0
221,5,1,0.22983818664152533,0.00088267065439824599,0
222,2,1,-0.13034931625099958,0.13807489051259372,0
223,5,1,0.14358019766735389,0.11243633896012067,0
224,7,1,0.21621434286850266,-0.013117133070927725,0
225,3,2,-0.026714061921863735,-0.37821040743148016,0
226,11,2,-0.27894568203002146,0.17052758371059909,0
227,3,2,-0.22936022148991311,-0.30405806335040531,0
228,5,1,-0.175467166143013,-0.087558091550765049,0
229,8,1,-0.14692315637615683,0.055913056757053881,0
230,3,1,-0.15558234906328727,0.027285300231068482,0
231,5,3,0.16029838454724496,0.46506575837225539,0
232,3,2,0.16902413055432705,-0.35329242369525748,0
233,3,2,-0.020823863895316753,-0.37566387297088921,0
234,4,1,-0.093336374295818231,0.1557222600385349,0
235,7,1,0.17689958293897645,0.14101135485260344,0
236,7,2,-0.2747404148639328,0.15899068497198759,0
237,3,2,-0.32786453529353737,-0.10675544819953264,0
238,8,1,0.16870703766948345,0.10321949391713431,0
239,3,2,-0.28690901607520192,0.1163080856442473,0
240,2,1,0.0064096881840819825,0.16489546074031991,0
241,4,2,0.37195321761732369,-0.021236483605968026,0
242,4,1,-0.15802361065700918,0.040915630272041134,0
243,6,1,0.050192065846095049,0.18870009209488262,0
244,4,2,0.070179790911839776,0.31587903158200004,0
245,4,2,0.068415679814457453,0.31276388040807224,0
246,9,3,0.16070678959594312,0.42523161627194939,0
247,6,2,0.097914565331772452,0.32947401903712203,0
248,3,2,-0.31955015935646786,-0.10897284597992138,0
249,5,1,0.041750800584420419,0.19512985169645367,0
250,2,2,-0.31741389783129836,0.08142393676215455,0
251,2,3,-0.22061611976013068,0.40143826653483561,0
252,7,1,-0.066626224377613827,0.14440459736564018,0
253,4,2,0.34857877623325845,-0.20764165680221833,0
254,7,1,0.0010864311177520708,-0.21282572788520612,0
255,2,1,-0.10629253812037492,0.10876559146319492,0
256,3,1,0.21155497218055169,0.026344506769383963,0
257,3,2,-0.33016715229505028,-0.11557577469449509,0
258,4,2,0.068532294253361117,0.32489171574988934,0
259,6,1,-0.080194642736260424,0.16447907592777883,0
260,6,2,-0.11393203629723171,0.29109088277232814,0
261,3,1,0.14308021368699689,0.14360948930108977,0
262,11,2,-0.091680987222435131,0.29559121258397791,0
263,3,1,0.22227651218838229,0.034033666720179837,0
264,6,1,-0.078838474882315518,0.15664837135800019,0
265,6,1,-0.18115542177713009,-0.081485779404775388,0
266,5,2,-0.30120651218181449,0.15283912523481052,0
267,4,2,-0.32128774136086174,-0.085367773421438642,0
268,8,1,0.20271446344754473,-0.13185167209337323,0
269,13,2,-0.32075900826972237,-0.038649907303094255,0
270,4,3,0.15004520811609845,0.47251281066333184,0
271,3,1,0.2204204211283648,-0.11876232686788099,0
272,2,2,-0.18214265447063735,0.23717300264691277,0
273,4,3,0.14750801109081729,0.4746250105335027,0
274,5,3,0.15143389565640047,0.44320306163507173,0
275,6,2,-0.12220706822245846,0.30479689819408984,0
276,4,2,-0.15303292362240722,0.29444409294471396,0
277,6,2,0.095252051040650626,0.32339428735879638,0
278,4,2,-0.27717395643399206,0.13127743337529796,0
279,3,2,-0.30073657997663578,-0.11233327042488639,0
280,5,2,-0.12562585752152353,0.27333420554796428,0
281,7,2,-0.065037474117757163,-0.37281356311334457,0
282,4,2,0.069493717229183766,0.34500183651380145,0
283,2,2,-0.18736412996413404,0.24061892625164427,0
284,14,2,0.12057647544242692,0.30960246883199488,0
285,4,3,-0.3367832249055373,-0.35798940360870057,0
286,3,3,-0.40950322437108061,0.20468885948313528,0
287,3,1,-0.089883544564779705,0.12475923065858596,0
288,8,3,0.15980390953293747,0.43185334712348022,0
289,3,1,0.020182106910166281,0.1835553542200257,0
290,3,2,-0.31094968338945855,-0.11890200679730434,0
291,7,2,-0.11790713267500585,0.31676195868596868,0
292,6,2,-0.25830948593565417,0.14057208007367777,0
293,2,2,-0.32526940322890424,0.079988177745930922,0
294,2,2,-0.29529937048169763,-0.14207734171293965,0
295,7,2,-0.061581813389000747,-0.38192361231076477,0
